company_id,company_name,category,period,period_idx,revenue,cost_of_goods_sold,operating_expenses,net_income,cash,accounts_receivable,inventory,accounts_payable,short_term_debt,long_term_debt,capital_expenditure,operating_cash_flow,investing_cash_flow,financing_cash_flow
C001,Apex Tech Solutions,Growing,2024-Q1,21,534.99,250.5,131.69,114.38,848.57,146.94,53.85,66.36,6.56,11.16,36.6,131.13,-36.46,-17.69
C001,Apex Tech Solutions,Growing,2024-Q2,22,595.1,278.96,146.01,127.38,928.76,176.92,52.81,75.1,6.56,11.16,47.45,145.68,-46.7,-18.8
C001,Apex Tech Solutions,Growing,2024-Q3,23,581.54,277.63,142.89,120.53,1000.86,117.72,59.57,54.89,6.56,11.16,51.0,140.32,-49.63,-18.6
C001,Apex Tech Solutions,Growing,2024-Q4,24,588.73,273.19,148.44,125.1,1096.89,142.95,67.39,75.5,6.56,11.16,32.22,145.03,-31.64,-17.36
C002,Horizon Logistics,Growing,2019-Q1,1,75.69,35.01,21.01,14.46,59.53,20.41,7.71,7.56,10.7,11.94,6.09,15.74,-4.88,-0.7
C002,Horizon Logistics,Growing,2019-Q2,2,81.23,37.63,22.34,15.65,70.93,20.32,8.65,9.22,10.7,11.94,6.48,19.55,-5.15,-3.0
C002,Horizon Logistics,Growing,2019-Q3,3,78.44,35.86,21.16,15.77,85.51,19.34,7.32,7.48,10.7,11.94,3.26,18.86,-3.2,-1.08
C002,Horizon Logistics,Growing,2019-Q4,4,76.66,34.74,20.76,15.58,98.79,19.34,7.89,7.0,10.7,11.94,3.39,18.81,-3.32,-2.21
C002,Horizon Logistics,Growing,2020-Q1,5,90.61,41.66,25.38,17.38,107.84,22.8,7.6,10.81,10.7,11.94,5.61,19.05,-5.5,-4.51
C002,Horizon Logistics,Growing,2020-Q2,6,102.37,47.51,28.52,19.46,122.05,27.6,9.07,9.38,10.7,11.94,5.38,20.82,-4.55,-2.06
C002,Horizon Logistics,Growing,2020-Q3,7,97.44,45.21,27.04,18.6,133.15,24.89,9.55,10.03,10.7,11.94,5.63,20.33,-4.5,-4.73
C002,Horizon Logistics,Growing,2020-Q4,8,98.4,44.15,26.56,20.47,149.8,20.08,10.4,11.05,10.7,11.94,4.42,23.51,-3.68,-3.18
C002,Horizon Logistics,Growing,2021-Q1,9,108.79,49.37,30.04,21.73,167.46,28.67,7.63,10.74,10.7,11.94,7.09,26.09,-5.8,-2.63
C002,Horizon Logistics,Growing,2021-Q2,10,116.39,52.32,31.45,24.17,187.58,30.76,7.99,12.48,10.7,11.94,8.0,30.59,-7.42,-3.05
C002,Horizon Logistics,Growing,2021-Q3,11,121.96,56.56,33.37,23.73,202.08,36.12,13.6,11.29,10.7,11.94,5.49,25.15,-5.47,-5.18
C002,Horizon Logistics,Growing,2021-Q4,12,113.3,52.0,30.61,22.72,221.78,26.27,12.19,9.48,10.7,11.94,6.13,28.28,-5.95,-2.62
C002,Horizon Logistics,Growing,2022-Q1,13,129.42,59.53,36.01,25.12,237.81,29.53,9.99,15.18,10.7,11.94,11.59,31.28,-10.97,-4.28
C002,Horizon Logistics,Growing,2022-Q2,14,144.87,66.74,39.57,28.62,258.9,42.46,15.74,14.88,10.7,11.94,11.26,34.87,-11.11,-2.68
C002,Horizon Logistics,Growing,2022-Q3,15,148.41,67.14,41.44,29.58,281.48,35.46,10.14,18.16,10.7,11.94,8.31,32.1,-6.88,-2.63
C002,Horizon Logistics,Growing,2022-Q4,16,146.12,66.78,40.38,28.93,302.96,35.78,11.98,14.22,10.7,11.94,11.34,34.81,-10.15,-3.18
C002,Horizon Logistics,Growing,2023-Q1,17,162.66,72.81,44.8,33.49,328.45,39.71,17.38,15.66,10.7,11.94,7.67,36.57,-6.53,-4.55
C002,Horizon Logistics,Growing,2023-Q2,18,175.85,78.85,47.53,36.8,360.99,47.5,12.4,20.67,10.7,11.94,7.75,43.74,-7.62,-3.57
C002,Horizon Logistics,Growing,2023-Q3,19,166.45,76.8,46.57,32.01,378.7,49.7,17.3,16.71,10.7,11.94,13.13,35.1,-12.29,-5.11
C002,Horizon Logistics,Growing,2023-Q4,20,157.17,72.78,42.53,31.1,401.13,39.18,11.0,16.51,10.7,11.94,7.22,33.54,-7.04,-4.07
C002,Horizon Logistics,Growing,2024-Q1,21,177.63,82.44,48.59,34.66,431.62,40.6,19.53,16.68,10.7,11.94,7.21,43.27,-5.76,-7.03
C002,Horizon Logistics,Growing,2024-Q2,22,205.76,95.23,56.62,40.14,463.46,61.58,14.99,22.41,10.7,11.94,13.61,49.75,-12.67,-5.24
C002,Horizon Logistics,Growing,2024-Q3,23,215.73,98.63,60.25,42.34,495.51,44.13,17.57,27.13,10.7,11.94,13.54,51.91,-12.61,-7.24
C002,Horizon Logistics,Growing,2024-Q4,24,207.6,93.42,56.99,42.6,524.06,48.86,19.47,17.54,10.7,11.94,18.54,52.29,-17.49,-6.25
C003,Beacon Healthcare,Growing,2019-Q1,1,78.46,36.64,17.0,18.09,67.32,22.49,5.66,6.69,13.23,29.0,6.32,19.39,-4.84,-4.11
C003,Beacon Healthcare,Growing,2019-Q2,2,92.89,43.68,19.69,21.61,80.86,27.59,10.23,11.52,13.23,29.0,5.64,23.79,-5.23,-5.02
C003,Beacon Healthcare,Growing,2019-Q3,3,94.67,45.24,20.57,21.13,97.62,24.19,10.26,12.42,13.23,29.0,4.96,25.69,-4.28,-4.65
C003,Beacon Healthcare,Growing,2019-Q4,4,96.25,45.91,20.59,21.79,114.45,21.45,9.97,11.1,13.23,29.0,4.4,23.41,-3.39,-3.19
C003,Beacon Healthcare,Growing,2020-Q1,5,110.18,52.34,23.52,25.21,133.56,28.22,12.44,11.53,13.23,29.0,4.57,25.84,-3.43,-3.3
C003,Beacon Healthcare,Growing,2020-Q2,6,130.7,61.73,27.52,30.56,157.86,27.92,9.35,13.28,13.23,29.0,7.79,34.4,-7.13,-2.97
C003,Beacon Healthcare,Growing,2020-Q3,7,132.99,63.01,28.21,30.8,173.6,34.87,14.88,17.32,13.23,29.0,11.48,32.07,-10.74,-5.59
C003,Beacon Healthcare,Growing,2020-Q4,8,125.94,58.9,27.34,29.25,193.37,31.39,10.77,14.33,13.23,29.0,5.52,30.97,-5.32,-5.87
C003,Beacon Healthcare,Growing,2021-Q1,9,139.27,64.84,30.14,32.69,216.45,34.45,14.05,12.79,13.23,29.0,5.86,34.46,-5.6,-5.79
C003,Beacon Healthcare,Growing,2021-Q2,10,160.49,74.22,33.62,38.97,241.52,34.03,14.55,14.89,13.23,29.0,10.46,42.19,-9.42,-7.69
C003,Beacon Healthcare,Growing,2021-Q3,11,164.73,75.88,35.61,39.4,267.49,48.12,11.85,15.76,13.23,29.0,12.75,45.51,-12.48,-7.07
C003,Beacon Healthcare,Growing,2021-Q4,12,171.68,80.01,36.55,40.82,302.1,44.95,14.95,18.1,13.23,29.0,7.18,46.69,-6.8,-5.27
C003,Beacon Healthcare,Growing,2022-Q1,13,196.04,91.96,41.1,46.71,333.13,47.98,18.69,18.78,13.23,29.0,11.54,50.26,-11.51,-7.72
C003,Beacon Healthcare,Growing,2022-Q2,14,228.92,106.01,48.43,55.34,367.96,48.53,25.34,25.37,13.23,29.0,18.19,62.23,-17.44,-9.95
C003,Beacon Healthcare,Growing,2022-Q3,15,247.02,116.86,52.47,57.74,409.76,52.55,20.84,25.28,13.23,29.0,16.93,64.91,-16.4,-6.71
C003,Beacon Healthcare,Growing,2022-Q4,16,256.11,120.49,53.98,60.71,452.29,53.83,19.91,24.65,13.23,29.0,12.63,65.15,-12.21,-10.41
C003,Beacon Healthcare,Growing,2023-Q1,17,271.77,129.77,56.99,63.23,501.34,65.17,32.05,34.59,13.23,29.0,14.38,71.97,-14.12,-8.81
C003,Beacon Healthcare,Growing,2023-Q2,18,314.89,150.05,67.23,72.68,552.28,80.98,26.71,38.56,13.23,29.0,17.69,78.87,-17.05,-10.87
C003,Beacon Healthcare,Growing,2023-Q3,19,314.53,148.0,66.43,74.55,609.46,81.19,24.48,33.76,13.23,29.0,13.4,82.72,-12.89,-12.64
C003,Beacon Healthcare,Growing,2023-Q4,20,314.39,144.71,68.28,75.52,659.19,73.01,33.43,29.73,13.23,29.0,24.53,84.81,-23.63,-11.44
C003,Beacon Healthcare,Growing,2024-Q1,21,340.96,162.47,73.59,78.15,721.42,101.1,26.39,41.12,13.23,29.0,16.73,89.61,-16.63,-10.76
C003,Beacon Healthcare,Growing,2024-Q2,22,376.44,176.88,81.28,88.19,787.84,80.55,40.6,35.4,13.23,29.0,18.15,95.92,-16.93,-12.57
C003,Beacon Healthcare,Growing,2024-Q3,23,357.37,169.95,75.8,83.2,848.89,100.66,32.95,37.0,13.23,29.0,19.68,92.07,-18.56,-12.47
C003,Beacon Healthcare,Growing,2024-Q4,24,363.94,168.67,78.76,86.86,918.15,86.76,34.47,45.65,13.23,29.0,16.68,97.05,-15.28,-12.52
C004,Vanguard Manufacturing,Growing,2019-Q1,1,75.78,35.96,19.1,15.04,56.35,15.41,7.44,9.22,13.94,25.77,4.33,19.59,-3.1,-3.81
C004,Vanguard Manufacturing,Growing,2019-Q2,2,81.94,39.83,20.15,15.97,66.13,19.64,9.15,7.77,13.94,25.77,6.24,16.77,-5.16,-1.83
C004,Vanguard Manufacturing,Growing,2019-Q3,3,81.78,38.82,20.29,16.51,76.88,17.84,9.35,9.25,13.94,25.77,5.16,18.35,-3.74,-3.86
C004,Vanguard Manufacturing,Growing,2019-Q4,4,84.71,40.75,21.15,16.61,93.08,22.12,6.19,10.89,13.94,25.77,5.78,21.74,-4.74,-0.8
C004,Vanguard Manufacturing,Growing,2020-Q1,5,92.08,44.28,23.08,18.04,110.09,22.32,9.9,12.11,13.94,25.77,5.76,23.36,-5.59,-0.77
C004,Vanguard Manufacturing,Growing,2020-Q2,6,103.44,50.26,25.43,20.31,124.17,30.21,11.91,11.65,13.94,25.77,6.2,23.91,-6.12,-3.71
C004,Vanguard Manufacturing,Growing,2020-Q3,7,99.06,47.56,25.14,19.27,137.45,23.24,8.78,12.07,13.94,25.77,5.08,22.0,-4.4,-4.33
C004,Vanguard Manufacturing,Growing,2020-Q4,8,92.74,43.88,23.15,18.78,150.71,22.43,10.6,9.49,13.94,25.77,6.64,22.04,-6.62,-2.16
C004,Vanguard Manufacturing,Growing,2021-Q1,9,102.36,48.26,26.06,20.53,167.79,25.61,10.11,9.01,13.94,25.77,5.17,25.16,-3.82,-4.26
C004,Vanguard Manufacturing,Growing,2021-Q2,10,109.85,52.01,26.91,22.7,185.63,27.15,10.74,9.7,13.94,25.77,6.88,27.58,-6.1,-3.64
C004,Vanguard Manufacturing,Growing,2021-Q3,11,112.22,53.06,27.66,23.13,197.85,32.12,12.98,11.53,13.94,25.77,8.1,25.08,-7.49,-5.37
C004,Vanguard Manufacturing,Growing,2021-Q4,12,103.74,49.05,26.12,20.93,207.97,27.58,7.49,9.92,13.94,25.77,7.63,22.45,-7.6,-4.72
C004,Vanguard Manufacturing,Growing,2022-Q1,13,113.65,54.82,28.07,22.57,224.66,23.86,9.56,13.83,13.94,25.77,9.26,28.08,-8.67,-2.71
C004,Vanguard Manufacturing,Growing,2022-Q2,14,127.73,60.51,31.62,26.2,244.3,36.99,9.16,11.41,13.94,25.77,5.28,28.24,-5.01,-3.6
C004,Vanguard Manufacturing,Growing,2022-Q3,15,129.33,62.79,32.08,25.35,259.92,29.22,11.8,15.01,13.94,25.77,9.21,27.81,-8.6,-3.59
C004,Vanguard Manufacturing,Growing,2022-Q4,16,126.44,60.46,31.3,25.51,281.97,37.28,13.69,11.73,13.94,25.77,8.14,31.48,-6.8,-2.63
C004,Vanguard Manufacturing,Growing,2023-Q1,17,139.17,66.1,34.79,28.21,299.19,36.65,11.62,12.82,13.94,25.77,12.42,34.39,-11.63,-5.54
C004,Vanguard Manufacturing,Growing,2023-Q2,18,153.99,73.15,37.7,31.86,321.31,44.88,11.83,17.38,13.94,25.77,10.43,35.03,-9.45,-3.46
C004,Vanguard Manufacturing,Growing,2023-Q3,19,153.01,73.65,38.44,30.19,339.52,33.28,17.78,16.34,13.94,25.77,10.09,34.1,-10.02,-5.86
C004,Vanguard Manufacturing,Growing,2023-Q4,20,154.62,74.83,37.95,30.88,360.39,40.25,13.06,16.38,13.94,25.77,8.93,34.17,-7.86,-5.44
C004,Vanguard Manufacturing,Growing,2024-Q1,21,167.3,80.73,42.49,32.56,380.14,45.72,13.84,14.78,13.94,25.77,11.67,36.24,-11.59,-4.9
C004,Vanguard Manufacturing,Growing,2024-Q2,22,199.43,95.98,49.45,40.0,409.29,55.26,15.42,18.0,13.94,25.77,12.92,47.31,-11.89,-6.26
C004,Vanguard Manufacturing,Growing,2024-Q3,23,200.71,97.37,50.49,39.14,430.94,45.6,20.35,21.04,13.94,25.77,17.23,42.74,-17.03,-4.07
C004,Vanguard Manufacturing,Growing,2024-Q4,24,194.08,92.84,47.83,39.55,460.42,49.33,22.03,23.51,13.94,25.77,14.16,47.13,-13.12,-4.54
C005,Solaris Energy,Growing,2019-Q1,1,73.15,30.3,20.57,16.36,75.09,16.81,7.35,8.4,5.39,24.11,4.66,21.49,-3.37,-1.08
C005,Solaris Energy,Growing,2019-Q2,2,82.47,34.56,23.31,18.1,87.78,16.8,7.25,7.02,5.39,24.11,3.62,18.62,-2.57,-3.35
C005,Solaris Energy,Growing,2019-Q3,3,81.83,34.29,22.87,18.15,100.93,22.84,6.24,8.32,5.39,24.11,5.79,23.21,-5.44,-4.63
C005,Solaris Energy,Growing,2019-Q4,4,81.82,35.05,22.39,17.93,114.89,23.52,7.11,9.6,5.39,24.11,7.36,22.41,-6.83,-1.62
C005,Solaris Energy,Growing,2020-Q1,5,90.89,38.56,25.74,19.59,125.97,27.12,8.75,8.55,5.39,24.11,6.99,22.21,-6.63,-4.5
C005,Solaris Energy,Growing,2020-Q2,6,94.9,39.83,26.25,21.26,136.0,21.79,6.9,7.34,5.39,24.11,8.48,21.52,-7.84,-3.65
C005,Solaris Energy,Growing,2020-Q3,7,91.99,39.53,25.96,19.52,152.13,19.22,7.58,10.59,5.39,24.11,5.83,25.31,-4.91,-4.26
C005,Solaris Energy,Growing,2020-Q4,8,93.39,40.2,25.78,20.21,166.82,27.48,8.64,9.68,5.39,24.11,4.81,23.38,-4.55,-4.15
C005,Solaris Energy,Growing,2021-Q1,9,106.93,44.87,29.31,24.21,190.3,31.75,10.7,12.24,5.39,24.11,5.21,30.7,-4.61,-2.6
C005,Solaris Energy,Growing,2021-Q2,10,117.98,50.19,32.46,26.14,207.66,33.22,8.66,10.16,5.39,24.11,8.22,30.26,-7.35,-5.56
C005,Solaris Energy,Growing,2021-Q3,11,116.72,48.54,33.07,25.98,226.53,34.5,11.47,12.67,5.39,24.11,7.88,30.88,-7.75,-4.26
C005,Solaris Energy,Growing,2021-Q4,12,118.18,49.63,32.66,26.57,244.1,32.18,9.91,9.34,5.39,24.11,8.76,28.81,-8.65,-2.58
C005,Solaris Energy,Growing,2022-Q1,13,120.08,50.88,33.94,26.1,260.71,28.19,11.08,12.04,5.39,24.11,10.08,28.77,-8.88,-3.28
C005,Solaris Energy,Growing,2022-Q2,14,131.55,56.31,37.24,28.15,280.62,35.63,13.16,14.06,5.39,24.11,9.33,33.7,-8.2,-5.59
C005,Solaris Energy,Growing,2022-Q3,15,130.12,55.46,35.81,28.78,302.19,36.67,12.93,12.8,5.39,24.11,7.07,30.12,-6.15,-2.39
C005,Solaris Energy,Growing,2022-Q4,16,126.54,53.7,34.97,28.05,320.67,33.33,10.95,13.85,5.39,24.11,9.88,29.89,-9.06,-2.36
C005,Solaris Energy,Growing,2023-Q1,17,147.52,63.35,40.51,32.4,341.18,43.33,13.86,11.83,5.39,24.11,11.12,36.06,-11.02,-4.53
C005,Solaris Energy,Growing,2023-Q2,18,158.92,66.67,44.56,35.42,368.36,32.51,15.81,18.49,5.39,24.11,12.31,43.58,-12.12,-4.28
C005,Solaris Energy,Growing,2023-Q3,19,158.27,67.53,44.48,34.34,393.96,38.71,11.98,18.89,5.39,24.11,9.9,39.23,-9.66,-3.97
C005,Solaris Energy,Growing,2023-Q4,20,148.55,63.19,40.99,32.93,412.46,30.93,13.78,15.51,5.39,24.11,13.0,36.49,-12.78,-5.21
C005,Solaris Energy,Growing,2024-Q1,21,166.91,70.85,46.38,36.91,441.61,37.96,17.6,15.65,5.39,24.11,8.6,44.84,-8.28,-7.41
C005,Solaris Energy,Growing,2024-Q2,22,190.82,81.04,52.96,42.26,468.34,54.66,15.99,22.43,5.39,24.11,15.92,46.73,-14.76,-5.26
C005,Solaris Energy,Growing,2024-Q3,23,193.23,81.98,53.12,43.25,499.54,39.27,19.85,19.81,5.39,24.11,12.38,51.4,-12.21,-7.99
C005,Solaris Energy,Growing,2024-Q4,24,195.77,83.25,54.47,43.18,533.25,43.08,16.58,15.52,5.39,24.11,10.46,50.21,-9.27,-7.24
C006,Quantum Dynamics,Growing,2019-Q1,1,87.11,35.87,19.79,23.25,63.97,21.61,5.76,7.33,11.0,15.83,4.1,28.54,-3.36,-3.01
C006,Quantum Dynamics,Growing,2019-Q2,2,97.25,39.92,22.56,25.73,78.84,19.54,7.29,9.25,11.0,15.83,5.59,25.97,-5.55,-5.55
C006,Quantum Dynamics,Growing,2019-Q3,3,92.7,37.85,21.61,24.58,92.49,25.96,6.44,7.45,11.0,15.83,6.66,24.8,-5.6,-5.56
C006,Quantum Dynamics,Growing,2019-Q4,4,89.93,37.26,20.44,23.83,111.04,22.85,8.23,9.95,11.0,15.83,7.2,27.57,-6.69,-2.32
C006,Quantum Dynamics,Growing,2020-Q1,5,103.32,42.0,24.05,27.62,131.08,26.1,9.37,7.9,11.0,15.83,5.41,27.86,-5.17,-2.66
C006,Quantum Dynamics,Growing,2020-Q2,6,114.6,46.15,27.02,30.73,155.67,26.78,7.76,11.95,11.0,15.83,7.44,34.93,-6.61,-3.73
C006,Quantum Dynamics,Growing,2020-Q3,7,112.61,45.31,26.25,30.45,177.15,23.34,6.94,9.32,11.0,15.83,9.39,33.37,-8.3,-3.6
C006,Quantum Dynamics,Growing,2020-Q4,8,110.52,44.88,25.42,29.83,201.69,26.21,11.16,8.26,11.0,15.83,7.62,35.08,-6.96,-3.57
C006,Quantum Dynamics,Growing,2021-Q1,9,126.14,52.19,29.1,33.29,224.65,28.72,10.92,14.16,11.0,15.83,8.97,35.05,-8.03,-4.06
C006,Quantum Dynamics,Growing,2021-Q2,10,138.96,55.76,32.43,37.74,257.88,40.42,9.37,11.36,11.0,15.83,6.82,44.46,-5.53,-5.69
C006,Quantum Dynamics,Growing,2021-Q3,11,138.54,56.3,32.08,37.28,281.53,32.68,11.78,11.05,11.0,15.83,12.26,40.48,-11.87,-4.97
C006,Quantum Dynamics,Growing,2021-Q4,12,134.05,54.21,31.36,36.02,308.8,28.56,13.39,12.22,11.0,15.83,5.85,38.2,-5.6,-5.32
C006,Quantum Dynamics,Growing,2022-Q1,13,152.64,61.99,34.97,41.42,341.58,39.95,13.68,12.19,11.0,15.83,6.39,43.62,-5.28,-5.56
C006,Quantum Dynamics,Growing,2022-Q2,14,165.95,67.51,38.93,44.29,373.2,46.56,14.08,18.01,11.0,15.83,7.57,47.19,-7.16,-8.41
C006,Quantum Dynamics,Growing,2022-Q3,15,166.31,66.48,37.9,46.1,412.15,40.78,16.18,14.07,11.0,15.83,7.0,50.69,-6.78,-4.97
C006,Quantum Dynamics,Growing,2022-Q4,16,162.9,67.57,36.95,43.44,443.92,48.08,14.45,18.03,11.0,15.83,10.72,47.6,-9.98,-5.85
C006,Quantum Dynamics,Growing,2023-Q1,17,186.07,74.87,43.35,50.54,477.26,55.26,11.93,18.51,11.0,15.83,15.52,55.4,-15.25,-6.81
C006,Quantum Dynamics,Growing,2023-Q2,18,199.06,82.16,46.88,52.17,517.57,53.41,16.41,19.87,11.0,15.83,13.64,60.01,-13.6,-6.1
C006,Quantum Dynamics,Growing,2023-Q3,19,201.62,81.17,46.95,54.78,554.55,48.26,17.46,15.48,11.0,15.83,18.14,61.36,-18.07,-6.31
C006,Quantum Dynamics,Growing,2023-Q4,20,203.94,82.74,47.89,54.64,597.89,56.74,17.1,21.0,11.0,15.83,12.28,62.65,-11.79,-7.52
C006,Quantum Dynamics,Growing,2024-Q1,21,229.63,94.63,53.0,61.16,640.49,64.7,15.33,22.19,11.0,15.83,12.91,64.55,-12.36,-9.59
C006,Quantum Dynamics,Growing,2024-Q2,22,258.37,106.04,59.52,69.26,695.17,63.27,18.43,23.05,11.0,15.83,11.28,74.77,-10.38,-9.72
C006,Quantum Dynamics,Growing,2024-Q3,23,248.58,100.75,58.36,66.76,744.22,62.62,19.94,18.39,11.0,15.83,14.67,72.81,-14.07,-9.69
C006,Quantum Dynamics,Growing,2024-Q4,24,258.91,105.58,60.17,69.53,801.0,71.59,24.42,26.59,11.0,15.83,10.59,79.48,-10.3,-12.4
C007,Pinnacle Bio,Growing,2019-Q1,1,102.46,43.06,27.85,23.26,42.03,23.64,9.92,10.07,14.34,17.03,7.23,25.47,-6.15,-4.4
C007,Pinnacle Bio,Growing,2019-Q2,2,113.76,48.11,30.72,25.8,59.64,24.81,10.49,9.53,14.34,17.03,8.58,29.63,-8.42,-3.6
C007,Pinnacle Bio,Growing,2019-Q3,3,119.97,51.01,32.29,27.09,77.55,31.59,12.5,12.25,14.34,17.03,10.1,32.88,-9.76,-5.22
C007,Pinnacle Bio,Growing,2019-Q4,4,121.08,51.61,33.08,26.89,94.93,34.38,12.39,11.11,14.34,17.03,9.57,29.28,-9.16,-2.74
C007,Pinnacle Bio,Growing,2020-Q1,5,145.62,60.79,40.12,33.12,115.92,35.7,12.69,11.96,14.34,17.03,12.11,39.36,-11.78,-6.59
C007,Pinnacle Bio,Growing,2020-Q2,6,162.24,67.53,44.73,37.07,143.53,42.3,13.82,13.72,14.34,17.03,11.31,41.79,-10.57,-3.61
C007,Pinnacle Bio,Growing,2020-Q3,7,166.58,70.42,45.54,37.56,172.56,45.27,15.44,19.66,14.34,17.03,7.53,40.8,-6.44,-5.32
C007,Pinnacle Bio,Growing,2020-Q4,8,164.84,69.32,44.43,37.91,199.4,34.38,16.6,13.81,14.34,17.03,8.46,42.18,-7.93,-7.41
C007,Pinnacle Bio,Growing,2021-Q1,9,184.69,79.31,50.09,41.05,231.3,46.91,18.88,19.44,14.34,17.03,10.38,47.26,-9.88,-5.48
C007,Pinnacle Bio,Growing,2021-Q2,10,210.83,91.23,58.18,45.66,260.23,53.92,20.35,20.67,14.34,17.03,14.36,50.0,-12.92,-8.15
C007,Pinnacle Bio,Growing,2021-Q3,11,208.08,88.43,56.13,47.24,291.84,50.99,19.95,18.99,14.34,17.03,16.6,54.96,-15.21,-8.15
C007,Pinnacle Bio,Growing,2021-Q4,12,214.14,90.5,57.89,48.9,327.55,64.08,21.97,21.18,14.34,17.03,14.14,57.9,-13.21,-8.98
C007,Pinnacle Bio,Growing,2022-Q1,13,241.5,103.82,66.96,52.64,366.78,65.42,15.95,21.83,14.34,17.03,14.01,59.25,-13.88,-6.15
C007,Pinnacle Bio,Growing,2022-Q2,14,278.2,118.31,75.68,62.75,408.09,66.68,23.04,28.4,14.34,17.03,23.92,71.93,-23.17,-7.44
C007,Pinnacle Bio,Growing,2022-Q3,15,279.35,120.58,75.41,62.11,450.11,78.71,22.68,32.29,14.34,17.03,22.43,73.37,-21.25,-10.1
C007,Pinnacle Bio,Growing,2022-Q4,16,286.18,119.4,78.16,66.06,497.64,62.2,26.21,25.63,14.34,17.03,20.62,78.29,-19.39,-11.38
C007,Pinnacle Bio,Growing,2023-Q1,17,350.07,150.13,94.73,78.51,558.33,87.61,28.5,29.22,14.34,17.03,15.2,89.08,-15.16,-13.24
C007,Pinnacle Bio,Growing,2023-Q2,18,395.91,171.12,108.76,86.62,621.23,117.42,33.07,36.14,14.34,17.03,24.54,99.71,-24.38,-12.43
C007,Pinnacle Bio,Growing,2023-Q3,19,407.91,174.14,110.28,92.22,674.45,84.08,39.72,39.35,14.34,17.03,36.61,102.8,-36.52,-13.05
